년도,평균가격
2000,8501 
2001,9584 
2002,8256 
2003,10250 
2004,12139 
2005,10106 
2006,10875 
2007,11630 
2008,10490 
2009,11619 
2010,13358 
2011,21567 
2012,25236 
2013,16908 
2014,15152 
2015,16610 
2016,13524 
2017,16555 
2018,23916 
2019,21068 
