년도,평균가격
2000,1636 
2001,1658 
2002,1961 
2003,2155 
2004,2473 
2005,2140 
2006,2080 
2007,2309 
2008,1899 
2009,2049 
2010,4387 
2011,4434 
2012,4014 
2013,3216 
2014,3062 
2015,4336 
2016,6011 
2017,6087 
2018,5551 
2019,4255 
