년도,평균가격
2000,7263 
2001,7984 
2002,6480 
2003,7763 
2004,9698 
2005,8118 
2006,8528 
2007,8978 
2008,8541 
2009,9721 
2010,10731 
2011,18099 
2012,20807 
2013,13188 
2014,12263 
2015,13649 
2016,11359 
2017,13692 
2018,20099 
2019,17545 
