년도,지역,면적 (ha),생산량 (톤)
2012,울산광역시,49,3713
2012,인천광역시,80,5874
2012,전라남도,2054,133984
2012,전라북도,2593,170152
2012,제주도,6197,249698
2012,충청남도,2183,129174
2012,충청북도,813,35689
2013,강원도,3113,108410
2013,경기도,2319,129573
2013,경상남도,633,37121
2013,경상북도,1868,73695
2013,광주광역시,215,15316
2013,대구광역시,82,3970
2013,대전광역시,31,2152
2013,부산광역시,54,3818
2013,서울특별시,7,538
2013,울산광역시,81,6217
2013,인천광역시,115,10694
2013,전라남도,2024,141152
2013,전라북도,3036,255171
2013,제주도,6598,284005
2013,충청남도,1988,124323
2013,충청북도,1100,47119
2014,강원도,3316,116073
2014,경기도,2327,151713
2014,경상남도,483,23441
2014,경상북도,1612,69249
2014,광주광역시,139,10133
2014,대구광역시,117,5881
2014,대전광역시,27,1712
2014,부산광역시,15,904
2014,서울특별시,11,696
2014,울산광역시,74,5102
2014,인천광역시,109,9855
2014,전라남도,1753,109218
2014,전라북도,2122,178683
2014,제주도,6197,444102
2014,충청남도,1985,134445
2014,충청북도,743,35762
2015,강원도,2922,103950
2015,경기도,2530,154309
2015,경상남도,503,34899
2015,경상북도,1303,67090
2015,광주광역시,187,16547
2015,대구광역시,37,1824
2015,대전광역시,55,3637
2015,부산광역시,55,3616
2015,서울특별시,6,378
2015,울산광역시,87,7240
2015,인천광역시,109,10650
2015,전라남도,1842,120305
2015,전라북도,2055,144396
2015,제주도,5710,382934
2015,충청남도,2102,166049
2015,충청북도,603,31504
2016,강원도,3221,123207
2016,경기도,1916,98547
2016,경상남도,482,24212
2016,경상북도,1577,64610
2016,광주광역시,169,12402
2016,대구광역시,65,2982
2016,대전광역시,17,1208
2016,부산광역시,23,1553
2016,서울특별시,2,156
2016,세종특별자치시,37,3040
2016,울산광역시,28,1902
2016,인천광역시,138,7491
2016,전라남도,1755,112629
2016,전라북도,1973,126495
2016,제주도,5378,281458
2016,충청남도,1820,114394
2016,충청북도,654,35877
2017,강원도,3670,134451
2017,경기도,2072,111434
2017,경상남도,781,45271
2017,경상북도,2278,82542
2017,광주광역시,157,12037
2017,대구광역시,51,2525
2017,대전광역시,16,1125
2017,부산광역시,33,1943
2017,서울특별시,4,276
2017,세종특별자치시,10,595
2017,울산광역시,102,5881
2017,인천광역시,103,7506
2017,전라남도,1811,121893
2017,전라북도,2256,154888
2017,제주도,6441,297156
2017,충청남도,1969,123113
2017,충청북도,974,56344
2018,강원도,3598,130663
2018,경기도,2387,144309
2018,경상남도,727,39880
2018,경상북도,1670,76233
2018,광주광역시,96,6566
2018,대구광역시,97,5474
2018,대전광역시,23,1408
2018,부산광역시,44,3208
2018,서울특별시,4,308
2018,세종특별자치시,22,1440
2018,울산광역시,68,5665
2018,인천광역시,105,10342
2018,전라남도,1847,111397
2018,전라북도,2158,155907
2018,제주도,7746,397356
2018,충청남도,1932,93020
2018,충청북도,881,51383
2019,강원도,463,30052
2019,경기도,1224,92621
2019,경상남도,298,24262
2019,경상북도,223,13752
2019,광주광역시,80,6415
2019,대구광역시,30,1970
2019,대전광역시,18,1229
2019,부산광역시,30,2601
2019,서울특별시,3,317
2019,세종특별자치시,27,1990
2019,울산광역시,28,2281
2019,인천광역시,91,9787
2019,전라남도,796,63053
2019,전라북도,1006,79648
2019,제주도,0,0
2019,충청남도,806,61367
2019,충청북도,220,13461
