년도,지역,면적 (ha),생산량 (톤)
2015,강원도,46,1852
2015,경기도,177,8192
2015,경상남도,3766,247845
2015,경상북도,2080,134423
2015,광주광역시,93,6140
2015,대구광역시,63,2727
2015,대전광역시,1,57
2015,부산광역시,17,1119
2015,서울특별시,0,0
2015,울산광역시,36,1860
2015,인천광역시,25,708
2015,전라남도,9171,543208
2015,전라북도,1352,75208
2015,제주도,641,41997
2015,충청남도,430,24539
2015,충청북도,117,4057
2016,강원도,16,996
2016,경기도,217,13120
2016,경상남도,4749,353063
2016,경상북도,2057,146390
2016,광주광역시,43,2451
2016,대구광역시,217,15425
2016,대전광역시,2,125
2016,부산광역시,21,1564
2016,서울특별시,0,0
2016,세종특별자치시,3,188
2016,울산광역시,19,1415
2016,인천광역시,35,2116
2016,전라남도,9521,569472
2016,전라북도,912,59351
2016,제주도,1566,101134
2016,충청남도,453,28405
2016,충청북도,65,3534
2017,강원도,33,1962
2017,경기도,280,12755
2017,경상남도,3938,239459
2017,경상북도,2087,124702
2017,광주광역시,48,2687
2017,대구광역시,236,20634
2017,대전광역시,5,255
2017,부산광역시,10,621
2017,서울특별시,0,22
2017,세종특별자치시,2,121
2017,울산광역시,18,1097
2017,인천광역시,32,1803
2017,전라남도,9230,514896
2017,전라북도,1632,101600
2017,제주도,1116,77476
2017,충청남도,785,41141
2017,충청북도,85,3262
2018,강원도,60,3334
2018,경기도,509,28031
2018,경상남도,5471,361120
2018,경상북도,3369,212066
2018,광주광역시,65,3836
2018,대구광역시,263,24662
2018,대전광역시,5,289
2018,부산광역시,31,1501
2018,서울특별시,0,20
2018,세종특별자치시,3,184
2018,울산광역시,65,4212
2018,인천광역시,35,1954
2018,전라남도,11327,558659
2018,전라북도,2646,163291
2018,제주도,1254,84519
2018,충청남도,1233,68687
2018,충청북도,88,4605
2019,강원도,102,6112
2019,경기도,493,32282
2019,경상남도,4330,353752
2019,경상북도,3309,247231
2019,광주광역시,33,2321
2019,대구광역시,311,26244
2019,대전광역시,4,198
2019,부산광역시,16,1049
2019,서울특별시,0,29
2019,세종특별자치시,4,232
2019,울산광역시,52,3122
2019,인천광역시,52,3397
2019,전라남도,8467,581958
2019,전라북도,2373,188857
2019,제주도,1130,89017
2019,충청남도,944,51922
2019,충청북도,155,6729
