년도,지역,면적 (ha),생산량 (톤)
2015,강원도,307,2385
2015,경기도,656,6054
2015,경상남도,5057,72010
2015,경상북도,3402,46001
2015,광주광역시,33,359
2015,대구광역시,143,1803
2015,대전광역시,23,211
2015,부산광역시,21,219
2015,서울특별시,3,27
2015,울산광역시,50,652
2015,인천광역시,105,783
2015,전라남도,5425,66059
2015,전라북도,601,6858
2015,제주도,2124,31129
2015,충청남도,2149,27443
2015,충청북도,539,4280
2016,강원도,180,1452
2016,경기도,653,6165
2016,경상남도,4651,69874
2016,경상북도,3850,54851
2016,광주광역시,36,419
2016,대구광역시,405,6361
2016,대전광역시,22,222
2016,부산광역시,22,331
2016,서울특별시,1,9
2016,세종특별자치시,23,258
2016,울산광역시,45,402
2016,인천광역시,75,811
2016,전라남도,5099,59291
2016,전라북도,862,10450
2016,제주도,2125,28413
2016,충청남도,2139,31350
2016,충청북도,571,4888
2017,강원도,263,2100
2017,경기도,845,5918
2017,경상남도,5387,72649
2017,경상북도,4734,60563
2017,광주광역시,44,473
2017,대구광역시,468,7431
2017,대전광역시,28,238
2017,부산광역시,23,224
2017,서울특별시,1,7
2017,세종특별자치시,33,320
2017,울산광역시,69,823
2017,인천광역시,66,694
2017,전라남도,6346,70104
2017,전라북도,1025,11861
2017,제주도,2230,32230
2017,충청남도,2643,32449
2017,충청북도,659,5496
2018,강원도,265,1999
2018,경기도,877,7493
2018,경상남도,6614,79363
2018,경상북도,6086,84952
2018,광주광역시,36,389
2018,대구광역시,487,7930
2018,대전광역시,29,175
2018,부산광역시,26,235
2018,서울특별시,0,3
2018,세종특별자치시,36,265
2018,울산광역시,97,958
2018,인천광역시,61,588
2018,전라남도,6030,60089
2018,전라북도,1316,11610
2018,제주도,2146,27453
2018,충청남도,3538,42464
2018,충청북도,708,5775
2019,강원도,239,1865
2019,경기도,881,8047
2019,경상남도,6598,97925
2019,경상북도,5998,100699
2019,광주광역시,44,597
2019,대구광역시,504,8290
2019,대전광역시,31,219
2019,부산광역시,27,314
2019,서울특별시,1,6
2019,세종특별자치시,37,364
2019,울산광역시,96,1219
2019,인천광역시,66,569
2019,전라남도,5803,73674
2019,전라북도,1032,12406
2019,제주도,2116,28491
2019,충청남도,3418,45538
2019,충청북도,797,7447
