년도,지역,면적 (ha),생산량 (톤)
2012,울산광역시,109,10411
2012,인천광역시,189,16297
2012,전라남도,7714,539540
2012,전라북도,2022,163589
2012,제주도,433,22728
2012,충청남도,2306,204537
2012,충청북도,2010,138651
2013,강원도,6884,327334
2013,경기도,3102,248082
2013,경상남도,1491,131624
2013,경상북도,3918,260926
2013,광주광역시,231,21099
2013,대구광역시,150,11468
2013,대전광역시,80,8518
2013,부산광역시,243,17807
2013,서울특별시,13,895
2013,울산광역시,192,18962
2013,인천광역시,225,20301
2013,전라남도,8067,591293
2013,전라북도,2081,190489
2013,제주도,473,45692
2013,충청남도,2353,207400
2013,충청북도,2517,197360
2014,강원도,6223,293692
2014,경기도,2749,231198
2014,경상남도,1231,123494
2014,경상북도,3793,256995
2014,광주광역시,209,17578
2014,대구광역시,221,10607
2014,대전광역시,63,6991
2014,부산광역시,125,12214
2014,서울특별시,12,1029
2014,울산광역시,121,13286
2014,인천광역시,196,21002
2014,전라남도,9168,826654
2014,전라북도,2604,241043
2014,제주도,609,55924
2014,충청남도,2395,231708
2014,충청북도,2308,195391
2015,강원도,6004,262916
2015,경기도,2540,195048
2015,경상남도,821,89234
2015,경상북도,2965,205760
2015,광주광역시,95,10341
2015,대구광역시,130,11540
2015,대전광역시,59,7109
2015,부산광역시,153,13429
2015,서울특별시,10,769
2015,세종특별자치시,0,0
2015,울산광역시,112,12677
2015,인천광역시,212,24776
2015,전라남도,7973,727958
2015,전라북도,2197,211174
2015,제주도,236,12964
2015,충청남도,1790,176014
2015,충청북도,1877,173270
2016,강원도,5464,245872
2016,경기도,2216,165597
2016,경상남도,926,66650
2016,경상북도,2873,196431
2016,광주광역시,124,9119
2016,대구광역시,136,7625
2016,대전광역시,47,4015
2016,부산광역시,53,5246
2016,서울특별시,4,299
2016,세종특별자치시,58,5175
2016,울산광역시,72,6353
2016,인천광역시,123,12577
2016,전라남도,6922,592044
2016,전라북도,1774,154551
2016,제주도,377,24280
2016,충청남도,1893,147975
2016,충청북도,1840,149583
2017,강원도,6845,392858
2017,경기도,2324,174080
2017,경상남도,1209,87947
2017,경상북도,4238,292176
2017,광주광역시,139,11314
2017,대구광역시,280,15161
2017,대전광역시,67,6088
2017,부산광역시,110,7393
2017,서울특별시,5,522
2017,세종특별자치시,46,3912
2017,울산광역시,115,9524
2017,인천광역시,161,16171
2017,전라남도,8786,731866
2017,전라북도,2466,204110
2017,제주도,460,29598
2017,충청남도,2245,201031
2017,충청북도,2918,211935
2018,강원도,6945,387699
