days,region,temperature,rainfall,daylight,weeks
2015-01-25,Andong,1.1,3.5,2,5
2015-01-25,Uiseong,0.3,2.5,0,5
2015-01-26,Sinan,6.5,0,1,5
2015-01-26,Goheung,7.8,0.5,0,5
2015-01-26,Gochang,6.7,2,0,5
2015-01-26,Andong,4.5,2,2,5
2015-01-26,Uiseong,3.8,3.5,0,5
2015-01-27,Sinan,2.1,0,4,5
2015-01-27,Goheung,2.4,0,5,5
2015-01-27,Gochang,0.3,0,6,5
2015-01-27,Andong,0.8,0,9,5
2015-01-27,Uiseong,0,0,8,5
2015-01-28,Sinan,1.1,0,8,5
2015-01-28,Goheung,0.4,0,7,5
2015-01-28,Gochang,-2.2,0,9,5
2015-01-28,Andong,-2.8,0,9,5
2015-01-28,Uiseong,-3.9,0,6,5
2015-01-29,Sinan,3,0,1,5
2015-01-29,Goheung,3.8,2.5,0,5
2015-01-29,Gochang,0.3,5,0,5
2015-01-29,Andong,-0.7,0.5,1,5
2015-01-29,Uiseong,-0.8,1,0,5
2015-01-30,Sinan,2.3,0,3,5
2015-01-30,Goheung,1.7,1.5,7,5
2015-01-30,Gochang,0.5,0.1,6,5
2015-01-30,Andong,-0.5,0.9,10,5
2015-01-30,Uiseong,-0.2,0.2,9,5
2015-01-31,Sinan,1.3,0,6,5
2015-01-31,Goheung,-0.5,0,9,5
2015-01-31,Gochang,-2.1,0,9,5
2015-01-31,Andong,-3.3,0,10,5
2015-01-31,Uiseong,-5.2,0,9,5
2015-02-01,Sinan,2.5,0,8,6
2015-02-01,Goheung,-0.5,0,9,6
2015-02-01,Gochang,-2,0,9,6
2015-02-01,Andong,-3.2,0,10,6
2015-02-01,Uiseong,-5,0,9,6
2015-02-02,Sinan,3.5,0,8,6
2015-02-02,Goheung,2.1,0,7,6
2015-02-02,Gochang,-0.1,0,8,6
2015-02-02,Andong,-1.7,0,9,6
2015-02-02,Uiseong,-3.4,0,7,6
2015-02-03,Sinan,4.5,0,5,6
2015-02-03,Goheung,2.5,0,8,6
2015-02-03,Gochang,0.3,0,6,6
2015-02-03,Andong,-0.5,0,7,6
2015-02-03,Uiseong,-1.7,0,6,6
2015-02-04,Sinan,4.6,0,6,6
2015-02-04,Goheung,3.1,0,6,6
2015-02-04,Gochang,0.5,0.1,1,6
2015-02-04,Andong,-0.2,0,8,6
2015-02-04,Uiseong,-0.9,0,8,6
2015-02-05,Sinan,2.9,0,3,6
2015-02-05,Goheung,2.1,0,5,6
2015-02-05,Gochang,1.7,0.2,3,6
2015-02-05,Andong,0.5,0,8,6
2015-02-05,Uiseong,-2,0,4,6
2015-02-06,Sinan,3.7,0,2,6
2015-02-06,Goheung,2.9,0,9,6
2015-02-06,Gochang,2.1,0,5,6
2015-02-06,Andong,0.6,0,10,6
2015-02-06,Uiseong,-1.9,0,9,6
2015-02-07,Sinan,5.8,0,3,6
2015-02-07,Goheung,4.2,0,3,6
2015-02-07,Gochang,2.7,0,0,6
2015-02-07,Andong,0.8,0,8,6
2015-02-07,Uiseong,-0.5,0,6,6
2015-02-08,Sinan,-1.7,0.1,6,7
2015-02-08,Goheung,-2.1,0,7,7
2015-02-08,Gochang,-4,0,2,7
2015-02-08,Andong,-5.3,0,10,7
2015-02-08,Uiseong,-4.7,0,9,7
2015-02-09,Sinan,0.3,0,7,7
2015-02-09,Goheung,-1.8,0,9,7
2015-02-09,Gochang,-2.6,0,7,7
2015-02-09,Andong,-5.2,0,10,7
2015-02-09,Uiseong,-4.7,0,9,7
2015-02-10,Sinan,5.9,0,9,7
2015-02-10,Goheung,4.5,0,8,7
2015-02-10,Gochang,4.1,0,5,7
2015-02-10,Andong,3,0,9,7
2015-02-10,Uiseong,2.2,0,8,7
2015-02-11,Sinan,7.9,0,9,7
2015-02-11,Goheung,5.5,0,6,7
2015-02-11,Gochang,5.2,0,5,7
2015-02-11,Andong,3.9,0,7,7
2015-02-11,Uiseong,0.9,0,7,7
2015-02-12,Sinan,3.3,0,9,7
2015-02-12,Goheung,3.1,0,8,7
2015-02-12,Gochang,1.3,0,6,7
2015-02-12,Andong,-0.2,0,10,7
2015-02-12,Uiseong,-0.9,0,10,7
2015-02-13,Sinan,2.6,0,10,7
2015-02-13,Goheung,1.3,0,9,7
2015-02-13,Gochang,-0.8,0,10,7
2015-02-13,Andong,-1.2,0,10,7
2015-02-13,Uiseong,-3.7,0,10,7
2015-02-14,Sinan,6.5,0,9,7
2015-02-14,Goheung,2.4,0,9,7
2015-02-14,Gochang,3.3,0,8,7
2015-02-14,Andong,1,0,9,7
2015-02-14,Uiseong,-1.2,0,8,7
2015-02-15,Sinan,8.7,30,0,8
2015-02-15,Goheung,6.1,18.5,0,8
2015-02-15,Gochang,9.8,5.5,0,8
2015-02-15,Andong,4.3,0,6,8
2015-02-15,Uiseong,3.5,0.3,4,8
2015-02-16,Sinan,7.5,2,0,8
2015-02-16,Goheung,7.2,4.5,0,8
2015-02-16,Gochang,8.2,2.5,0,8
2015-02-16,Andong,3.4,10.5,3,8
2015-02-16,Uiseong,3.5,9,0,8
2015-02-17,Sinan,5.3,0,9,8
2015-02-17,Goheung,6,0,6,8
2015-02-17,Gochang,4.6,0.5,2,8
2015-02-17,Andong,2.5,0.2,8,8
2015-02-17,Uiseong,2.4,0.1,2,8
2015-02-18,Sinan,4.1,0,1,8
2015-02-18,Goheung,3.8,0,0,8
2015-02-18,Gochang,3.1,0,0,8
2015-02-18,Andong,1.5,0,5,8
2015-02-18,Uiseong,1.3,0,1,8
2015-02-19,Sinan,3.4,0,10,8
2015-02-19,Goheung,3.9,0,9,8
2015-02-19,Gochang,3.3,0,10,8
2015-02-19,Andong,1.1,0,8,8
2015-02-19,Uiseong,0,0,7,8
2015-02-20,Sinan,6.8,0,8,8
2015-02-20,Goheung,4.9,0,8,8
2015-02-20,Gochang,6.1,0,8,8
2015-02-20,Andong,3.3,0,8,8
2015-02-20,Uiseong,2.3,0,9,8
2015-02-21,Sinan,8.1,2.5,0,8
2015-02-21,Goheung,8.5,24,0,8
2015-02-21,Gochang,10.3,2,0,8
2015-02-21,Andong,5.2,6.5,1,8
2015-02-21,Uiseong,5.1,3.5,0,8
2015-02-22,Sinan,5.1,0,7,9
2015-02-22,Goheung,7.7,0.5,5,9
2015-02-22,Gochang,5.7,3,3,9
2015-02-22,Andong,6.5,0.5,7,9
2015-02-22,Uiseong,6.7,0.2,4,9
2015-02-23,Sinan,4,0,7,9
2015-02-23,Goheung,4.9,0,7,9
2015-02-23,Gochang,3.2,0,6,9
2015-02-23,Andong,2.5,0,7,9
2015-02-23,Uiseong,2.3,0,7,9
2015-02-24,Sinan,4.3,0,10,9
2015-02-24,Goheung,5.6,0,8,9
2015-02-24,Gochang,3.5,0,9,9
2015-02-24,Andong,2.7,0,9,9
2015-02-24,Uiseong,1.9,0,8,9
2015-02-25,Sinan,6.4,0,1,9
2015-02-25,Goheung,6.9,0,2,9
2015-02-25,Gochang,5.2,0,0,9
2015-02-25,Andong,5.1,0,8,9
2015-02-25,Uiseong,3.7,0,5,9
2015-02-26,Sinan,4.6,0,7,9
2015-02-26,Goheung,6,0,5,9
2015-02-26,Gochang,4,0,6,9
2015-02-26,Andong,2.7,0,8,9
2015-02-26,Uiseong,1.9,0,6,9
2015-02-27,Sinan,1.5,0,3,9
2015-02-27,Goheung,1.9,0,4,9
2015-02-27,Gochang,0.5,0,9,9
2015-02-27,Andong,-0.8,0,10,9
2015-02-27,Uiseong,-1.5,0,9,9
2015-02-28,Sinan,3.9,3.5,1,9
2015-02-28,Goheung,4,4,0,9
2015-02-28,Gochang,2.6,4,0,9
2015-02-28,Andong,0.9,0,3,9
2015-02-28,Uiseong,0.1,0.4,1,9
2015-03-01,Sinan,4.6,0.5,7,10
2015-03-01,Goheung,4.5,1,7,10
2015-03-01,Gochang,3.4,1.5,2,10
2015-03-01,Andong,2.2,2,8,10
2015-03-01,Uiseong,2.7,2.5,6,10
2015-03-02,Sinan,6,0,11,10
2015-03-02,Goheung,3.8,0,10,10
2015-03-02,Gochang,3.6,0,10,10
2015-03-02,Andong,3,0,11,10
2015-03-02,Uiseong,1.3,0,10,10
2015-03-03,Sinan,5.9,0.5,5,10
2015-03-03,Goheung,4.7,2.5,2,10
2015-03-03,Gochang,5,0.5,1,10
2015-03-03,Andong,2.9,0,2,10
2015-03-03,Uiseong,1.7,0.5,0,10
2015-03-04,Sinan,1.9,0,8,10
2015-03-04,Goheung,1.8,0,8,10
2015-03-04,Gochang,1,0,9,10
2015-03-04,Andong,-0.7,0,11,10
2015-03-04,Uiseong,-0.3,0,10,10
2015-03-05,Sinan,2.3,0,7,10
2015-03-05,Goheung,2.7,0,7,10
2015-03-05,Gochang,0.9,0,7,10
2015-03-05,Andong,0.1,0,11,10
2015-03-05,Uiseong,-1.4,0,10,10
2015-03-06,Sinan,3.8,0,5,10
2015-03-06,Goheung,5.8,0,4,10
2015-03-06,Gochang,3.5,0,9,10
2015-03-06,Andong,3.1,0,11,10
2015-03-06,Uiseong,1.6,0,10,10
2015-03-07,Sinan,4.3,0,9,10
2015-03-07,Goheung,6.2,0,9,10
2015-03-07,Gochang,3.9,0,10,10
2015-03-07,Andong,4.6,0,11,10
2015-03-07,Uiseong,2.9,0,10,10
2015-03-08,Sinan,7.6,0,10,11
2015-03-08,Goheung,6.5,0,9,11
2015-03-08,Gochang,7.3,0,9,11
2015-03-08,Andong,6.1,0,9,11
2015-03-08,Uiseong,4.3,0,9,11
2015-03-09,Sinan,3.7,1,8,11
2015-03-09,Goheung,5.9,0.4,9,11
2015-03-09,Gochang,4.2,0.5,9,11
2015-03-09,Andong,4.4,0,9,11
2015-03-09,Uiseong,4.1,0,8,11
