거래일자,지역(군),평균기온,강수량,일조시간
20150101,종로구,-7.7,0.0,9.0
20150101,춘천시,-7.8,0.0,8.0
20150101,철원군,-9.1,0.0,9.0
20150101,속초시,-4.6,0.0,9.0
20150101,원주시,-7.2,0.0,9.0
20150101,영월군,-7.8,0.0,6.0
20150101,평창군,-12.9,0.0,9.0
20150101,태백시,-10.6,0.0,7.0
20150101,동해시,-4.1,0.0,7.0
20150101,삼척시,0.0,0.0,0.0
20150101,인제군,-8.8,0.0,7.0
20150101,홍천군,-8.4,0.0,8.0
20150101,유성구,-5.6,0.0,8.0
20150101,금산군,-6.1,0.0,7.0
20150101,부여군,-4.9,0.2,8.0
20150101,천안시,-5.7,0.3,0.0
20150101,보령시,-3.9,0.2,6.0
20150101,서산시,-4.5,0.0,4.0
20150101,청주시,-5.6,0.1,8.0
20150101,영동군,-7.2,1.6,9.0
20150101,보은군,-6.9,0.0,7.0
20150101,제천시,-9.4,0.0,9.0
20150101,남구,-7.1,0.0,9.0
20150101,강화군,-7.5,0.0,9.0
20150101,수원시,-6.4,0.0,9.0
20150101,이천시,-7.4,0.0,9.0
20150101,양평군,-6.9,0.0,8.0
20150101,동두천시,-8.1,0.0,9.0
20150101,파주시,-8.3,0.0,9.0
20150101,남구,-3.7,5.0,4.0
20150101,장흥군,-2.0,1.0,4.0
20150101,목포시,-1.4,2.2,4.0
20150101,신안군,0.0,1.5,3.0
20150101,무안군,0.0,0.0,0.0
20150101,해남군,-0.8,2.0,3.0
20150101,진도군,-5.0,2.5,6.0
20150101,순천시,0.0,0.0,0.0
20150101,고흥군,-1.5,0.0,6.0
20150101,완도군,-0.9,3.0,4.0
20150101,여수시,-2.6,0.0,9.0
20150101,전주시,-4.0,0.0,8.0
20150101,임실군,-6.3,0.5,8.0
20150101,군산시,-4.0,0.4,7.0
20150101,부안군,-4.3,4.0,2.0
20150101,정읍시,-4.4,2.5,2.0
20150101,고창군,-4.1,8.5,1.0
20150101,남원시,-5.2,0.2,7.0
20150101,장수군,-6.6,0.0,8.0
20150101,해운대구,-2.2,0.0,9.0
20150101,밀양시,-3.5,0.0,8.0
20150101,창원시,-1.7,0.0,9.0
20150101,통영시,-1.4,0.0,9.0
20150101,거제시,-1.3,0.0,7.0
20150101,진주시,-3.1,0.0,9.0
20150101,산청군,-3.4,0.0,7.0
20150101,남해군,-1.8,0.0,8.0
20150101,거창군,-5.4,0.0,8.0
20150101,합천군,-3.4,0.0,8.0
20150101,울주군,-2.7,0.0,8.0
20150101,제주시,3.3,4.2,0.0
20150101,북제주군,2.6,0.3,4.0
20150101,서귀포시,2.8,4.0,5.0
20150101,남제주군,0.0,0.0,0.0
20150101,북구,-3.9,0.0,9.0
20150101,구미시,-4.7,1.0,8.0
20150101,상주시,-5.5,0.0,9.0
20150101,문경시,-6.8,0.0,8.0
20150101,영주시,-7.3,0.0,8.0
20150101,봉화군,-8.9,0.0,8.0
20150101,안동시,-6.7,0.0,9.0
20150101,영덕군,-5.1,0.0,8.0
20150101,울진군,-4.0,0.0,9.0
20150101,의성군,-7.2,0.0,8.0
20150101,영천시,-4.8,0.0,8.0
20150101,포항시,-3.6,0.0,9.0
20150101,울릉군,-3.7,36.6,1.0
20150102,종로구,-6.0,0.0,8.0
20150102,춘천시,-7.7,0.0,8.0
20150102,철원군,-8.7,0.0,9.0
20150102,속초시,-2.9,0.0,8.0
20150102,원주시,-6.0,0.0,8.0
20150102,영월군,-7.7,0.0,7.0
20150102,평창군,-10.6,0.0,8.0
20150102,태백시,-9.0,0.0,7.0
20150102,동해시,-2.0,0.0,6.0
20150102,삼척시,0.0,0.0,0.0
20150102,인제군,-7.9,0.0,7.0
20150102,홍천군,-8.1,0.0,8.0
20150102,유성구,-4.7,0.0,5.0
20150102,금산군,-6.1,0.1,4.0
20150102,부여군,-5.9,2.0,4.0
20150102,천안시,-5.0,0.0,0.0
20150102,보령시,-4.3,2.4,5.0
20150102,서산시,-4.3,0.1,6.0
20150102,청주시,-4.2,0.0,7.0
20150102,영동군,-5.4,0.1,7.0
20150102,보은군,-6.1,0.0,6.0
20150102,제천시,-9.2,0.0,8.0
20150102,남구,-5.3,0.0,9.0
20150102,강화군,-6.5,0.0,8.0
20150102,수원시,-4.6,0.0,9.0
20150102,이천시,-6.2,0.0,8.0
20150102,양평군,-6.1,0.0,8.0
20150102,동두천시,-7.0,0.0,8.0
20150102,파주시,-7.9,0.0,8.0
20150102,남구,-2.3,4.6,4.0
20150102,장흥군,0.0,0.0,5.0
20150102,목포시,1.0,0.1,8.0
20150102,신안군,3.1,0.0,5.0
20150102,무안군,0.0,0.0,0.0
20150102,해남군,1.0,1.0,5.0
20150102,진도군,-2.7,0.1,6.0
20150102,순천시,0.0,0.0,0.0
20150102,고흥군,0.2,0.0,3.0
20150102,완도군,1.4,0.0,7.0
20150102,여수시,-1.1,0.2,7.0
20150102,전주시,-4.2,0.0,3.0
20150102,임실군,-6.9,0.4,2.0
20150102,군산시,-4.5,1.1,5.0
20150102,부안군,-4.2,1.5,3.0
20150102,정읍시,-3.9,1.5,3.0
20150102,고창군,-3.3,5.5,3.0
20150102,남원시,-5.2,0.8,5.0
20150102,장수군,-6.0,0.2,3.0
20150102,해운대구,-1.0,0.0,9.0
20150102,밀양시,-3.8,0.0,8.0
20150102,창원시,-1.0,0.0,9.0
20150102,통영시,-0.6,0.0,8.0
20150102,거제시,-0.3,0.0,6.0
20150102,진주시,-3.3,0.0,7.0
20150102,산청군,-1.8,0.0,5.0
20150102,남해군,-0.4,0.0,7.0
20150102,거창군,-4.1,0.1,6.0
20150102,합천군,-4.5,0.0,6.0
20150102,울주군,-1.0,0.0,9.0
20150102,제주시,6.1,0.0,2.0
20150102,북제주군,5.2,0.0,4.0
20150102,서귀포시,5.4,0.1,8.0
20150102,남제주군,0.0,0.0,0.0
20150102,북구,-2.0,0.0,9.0
20150102,구미시,-2.5,0.0,7.0
20150102,상주시,-3.9,0.0,9.0
20150102,문경시,-4.9,0.0,8.0
20150102,영주시,-5.0,0.0,9.0
20150102,봉화군,-7.5,0.0,8.0
20150102,안동시,-4.6,0.0,9.0
20150102,영덕군,-3.5,0.0,8.0
20150102,울진군,-2.4,0.0,8.0
20150102,의성군,-7.5,0.0,8.0
20150102,영천시,-3.2,0.0,7.0
20150102,포항시,-2.1,0.0,9.0
20150102,울릉군,-2.0,4.9,1.0
20150103,종로구,-2.7,0.0,8.0
20150103,춘천시,-6.6,0.0,8.0
20150103,철원군,-5.9,0.0,8.0
20150103,속초시,1.1,0.0,9.0
20150103,원주시,-5.0,0.0,9.0
20150103,영월군,-6.5,0.0,6.0
20150103,평창군,-6.8,0.0,9.0
20150103,태백시,-3.8,0.0,7.0
20150103,동해시,2.0,0.0,7.0
20150103,삼척시,0.0,0.0,0.0
20150103,인제군,-6.1,0.0,7.0
20150103,홍천군,-6.6,0.0,8.0
20150103,유성구,-2.9,0.0,9.0
20150103,금산군,-5.1,0.0,8.0
20150103,부여군,-4.9,0.0,7.0
20150103,천안시,-3.7,0.0,0.0
20150103,보령시,-1.1,0.0,8.0
20150103,서산시,-2.1,0.0,6.0
20150103,청주시,-2.4,0.0,6.0
20150103,영동군,-4.1,0.0,9.0
20150103,보은군,-6.2,0.0,6.0
20150103,제천시,-7.7,0.0,9.0
20150103,남구,-1.9,0.0,8.0
20150103,강화군,-3.7,0.0,7.0
20150103,수원시,-2.6,0.0,7.0
20150103,이천시,-5.8,0.0,8.0
20150103,양평군,-5.8,0.0,8.0
20150103,동두천시,-4.0,0.0,8.0
20150103,파주시,-4.8,0.0,8.0
20150103,남구,-1.9,0.0,7.0
20150103,장흥군,-0.7,0.0,7.0
20150103,목포시,0.4,0.0,8.0
20150103,신안군,4.6,0.0,5.0
20150103,무안군,0.0,0.0,0.0
20150103,해남군,0.1,0.0,8.0
20150103,진도군,-0.6,0.0,8.0
20150103,순천시,0.0,0.0,0.0
20150103,고흥군,0.7,0.0,7.0
20150103,완도군,1.9,0.0,8.0
20150103,여수시,1.1,0.0,8.0
20150103,전주시,-2.0,0.0,7.0
20150103,임실군,-6.4,0.0,7.0
20150103,군산시,-2.1,0.0,8.0
20150103,부안군,-3.1,0.0,6.0
20150103,정읍시,-2.3,0.0,3.0
20150103,고창군,-2.8,0.0,6.0
20150103,남원시,-4.8,0.0,8.0
20150103,장수군,-6.2,0.0,8.0
20150103,해운대구,1.8,0.0,9.0
20150103,밀양시,-2.4,0.0,8.0
20150103,창원시,0.6,0.0,9.0
20150103,통영시,1.3,0.0,9.0
20150103,거제시,1.7,0.0,7.0
20150103,진주시,-3.0,0.0,9.0
20150103,산청군,-2.7,0.0,7.0
20150103,남해군,0.1,0.0,8.0
20150103,거창군,-4.7,0.0,9.0
20150103,합천군,-3.9,0.0,8.0
20150103,울주군,1.0,0.0,9.0
20150103,제주시,6.8,0.0,5.0
20150103,북제주군,6.8,0.0,7.0
20150103,서귀포시,7.6,0.0,7.0
20150103,남제주군,0.0,0.0,0.0
20150103,북구,-0.3,0.0,9.0
20150103,구미시,-2.1,0.0,6.0
20150103,상주시,-1.5,0.0,9.0
20150103,문경시,-3.0,0.0,8.0
20150103,영주시,-3.8,0.0,9.0
20150103,봉화군,-6.0,0.0,8.0
20150103,안동시,-3.9,0.0,9.0
20150103,영덕군,-0.6,0.0,8.0
20150103,울진군,1.2,0.0,9.0
20150103,의성군,-7.1,0.0,8.0
20150103,영천시,-1.5,0.0,8.0
20150103,포항시,0.5,0.0,9.0
20150103,울릉군,1.7,0.0,8.0
20150104,종로구,2.5,0.0,4.0
20150104,춘천시,-0.4,0.0,5.0
20150104,철원군,-0.3,0.2,4.0
20150104,속초시,5.8,0.0,9.0
20150104,원주시,0.0,0.0,2.0
20150104,영월군,-0.4,0.0,3.0
20150104,평창군,-1.3,0.0,7.0
20150104,태백시,-0.4,0.0,3.0
20150104,동해시,5.1,0.0,7.0
20150104,삼척시,0.0,0.0,0.0
20150104,인제군,-0.6,0.0,2.0
20150104,홍천군,-0.8,0.0,2.0
20150104,유성구,2.0,0.0,5.0
20150104,금산군,0.2,0.0,4.0
20150104,부여군,0.7,0.0,5.0
20150104,천안시,1.9,0.0,0.0
20150104,보령시,3.1,0.0,8.0
20150104,서산시,1.8,0.0,8.0
20150104,청주시,2.7,0.0,6.0
20150104,영동군,1.3,0.0,6.0
