년도,수출(중량),수입(중량)
2010,3044724.20 ,156102757.00 
2011,2923670.60 ,217901269.00 
2012,3410437.50 ,199752617.00 
2013,3083178.30 ,173316259.00 
2014,3242493.90 ,172725457.00 
2015,3137797.20 ,199157265.00 
2016,2772674.30 ,204681584.20 
2017,2663991.10 ,228016343.40 
2018,2951595.60 ,246212485.50 
2019,3517456.60 ,244319174.10 
