년도,수출(중량),수입(중량)
2010,3829171.8,21334085
2011,777198.4,18330617
2012,962210,45952057
2013,722700.9,65243477
2014,24272312,8553208
2015,385837.8,154369316
2016,8909287.6,55350307.7
2017,546661.6,159341841.2
2018,3461571,70345663.7
2019,50419905.3,35058464.7
